t_perf,t_wall,value,rtt_ms
110.960688,1783017422.241328,77.75,336.542
111.291909,1783017422.572549,78.75,331.185
111.635665,1783017422.916308,79.5,343.740
111.971615,1783017423.252257,80.5,335.925
112.326747,1783017423.607389,81.25,355.076
112.669428,1783017423.950072,82.25,342.662
113.022369,1783017424.303011,83,352.901
113.373328,1783017424.653970,84,350.940
113.710353,1783017424.990994,84.75,337.005
114.054704,1783017425.335346,85.5,344.333
114.388467,1783017425.669110,86.5,333.738
114.723502,1783017426.004143,87.25,335.013
115.075685,1783017426.356330,88.25,352.163
115.411972,1783017426.692613,89,336.255
115.744696,1783017427.025337,89.75,332.705
116.078343,1783017427.358983,90.75,333.629
116.425438,1783017427.706080,91.5,347.079
116.759753,1783017428.040395,92.25,334.294
117.093740,1783017428.374380,93.25,333.945
117.450125,1783017428.730768,94,356.368
117.784466,1783017429.065112,95,334.318
118.130219,1783017429.410860,95.75,345.719
118.479843,1783017429.760484,96.75,349.605
118.812551,1783017430.093194,97.5,332.689
119.147593,1783017430.428235,98.25,335.014
119.492028,1783017430.772670,99.25,344.416
119.839909,1783017431.120552,100,347.861
120.173907,1783017431.454551,99,333.977
